"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11203","0741","Santa Cruz","165143.992","913520.004","801","E15D55","7","59",,,
"11204","0742","San Miguel","170018","913920.016","1321","E15D45","7","59",,,
"11205","0744","El Caribal","165853.004","914024.996","680","E15D54","7","59",,,
"11206","0745","San Francisco","165855.992","914042.996","689","E15D54","7","59",,,
"11207","0746","Nuevo Caribal","165841.016","914050.016","676","E15D54","7","59",,,
"11208","0747","San Martín","165846.992","914054.984","660","E15D54","7","59",,,
"11209","0749","San José Lindavista","165823.988","914050.016","640","E15D54","7","59",,,
"11210","0750","Buenavista","165817.004","914055.992","670","E15D54","7","59",,,
"11211","0751","El Limón","165817.004","914048","664","E15D54","7","59",,,
"11212","0752","Emiliano Zapata","165920.004","914144.988","666","E15D54","7","59",,,
"11213","0754","La Esperanza","165818.984","914004.008","719","E15D54","7","59",,,
"11214","0755","María Auxiliadora","165814.988","913912.996","786","E15D55","7","59",,,
"11215","0757","El Carmen","165756.016","914032.988","641","E15D54","7","59",,,
"11216","0758","San Isidro","165755.008","914125.008","766","E15D54","7","59",,,
"11217","0759","La Fortuna","164521.996","913812.012","582","E15D55","7","59",,,
"11218","0760","Chamizal","164922.008","912200.012","836","E15D55","7","59",,,
"11219","0766","Nuevo San Jacinto","164901.992","914035.004","520","E15D54","7","59",,,
"11220","0767","Cintalapa","165526.004","912138.988","495","E15D55","7","59",,,
"11221","0769","Francisco Villa","165908.988","912002.004","564","E15D55","7","59",,,
"11222","0770","Nuevo Guerrero","165915.556","911710.723","200","E15D56","7","59",,,
"11223","0772","San Mateo","170140.008","911936.984","160","E15D46","7","59",,,
"11224","0773","San Antonio Escobar","165211.224","912511.008","940","E15D55","7","59",,,
"11225","0789","Rancho Nuevo","164836","914109.996","618","E15D54","7","59",,,
"11226","0791","San Antonio","164707.008","913955.008","520","E15D55","7","59",,,
"11227","0792","Miguel Hidalgo","165006","914143.008","540","E15D54","7","59",,,
"11228","0794","San Francisco la Pimienta","164906.996","913925.992","579","E15D55","7","59",,,
"11229","0798","San Jacinto","165603.984","914942.996","600","E15D54","7","59",,,
"11230","0800","Zaragoza","164847.988","914045.012","574","E15D54","7","59",,,
"11231","0801","Yucatán","164904.008","914058.008","543","E15D54","7","59",,,
"11232","0812","Montebello","165205.988","914918.012","756","E15D54","7","59",,,
"11233","0813","San Caralampio Agua Dulce","165245.984","914812.996","776","E15D54","7","59",,,
"11234","0815","San Miguel","165559.988","914930","594","E15D54","7","59",,,
"11235","0816","San José Uno","164900.984","913919.008","563","E15D55","7","59",,,
"11236","0819","Loma Linda (Loma Bonita)","165729.988","914948","699","E15D54","7","59",,,
"11237","0821","San Francisco","165447.988","915125.992","789","E15D54","7","59",,,
"11238","0823","La Independencia (Palestina)","165532.988","914935.004","611","E15D54","7","59",,,
"11239","0824","La Rivera","165550.016","914923.016","588","E15D54","7","59",,,
"11240","0825","El Palmar","165647.765","914802.535","645","E15D54","7","59",,,
"11241","0827","Chavarico las Palmas","165657.984","914819.008","673","E15D54","7","59",,,
"11242","0828","Mexicali","165612.984","914900.984","601","E15D54","7","59",,,
"11243","0829","El Recreo","165653.988","914933.996","640","E15D54","7","59",,,
"11244","0830","San Ramón","165715.984","914930","661","E15D54","7","59",,,
